SampleID	SampleName	Replicate	cave	regionA	regionB	biome
MB211III	MB211III	south1	south1	South	South	amazon
MB211II	MB211II	south1	south1	South	South	amazon
MB211I	MB211I	south1	south1	South	South	amazon
MB214III	MB214III	south2	south2	South	South	amazon
MB214II	MB214II	south2	south2	South	South	amazon
MB214I	MB214I	south2	south2	South	South	amazon
MB217III	MB217III	south3	south3	South	South	amazon
MB217II	MB217II	south3	south3	South	South	amazon
MB217I	MB217I	south3	south3	South	South	amazon
MB223III	MB223III	NE1	NE1	North	Northwest	amazon
MB223II	MB223II	NE1	NE1	North	Northwest	amazon
MB223I	MB223I	NE1	NE1	North	Northwest	amazon
MB224III	MB224III	NE2	NE2	North	Northwest	amazon
MB224II	MB224II	NE2	NE2	North	Northwest	amazon
MB224I	MB224I	NE2	NE2	North	Northwest	amazon
MB227II	MB227II	SE	SE	southeast	southeast	amazon
MB227I	MB227I	SE	SE	southeast	southeast	amazon
MB230III	MB230III	NW1	NW1	North	Northeast	amazon
MB230II	MB230II	NW1	NW1	North	Northeast	amazon
MB230I	MB230I	NW1	NW1	North	Northeast	amazon
MB233III	MB233III	NW2	NW2	North	Northeast	amazon
MB233II	MB233II	NW2	NW2	North	Northeast	amazon
MB233I	MB233I	NW2	NW2	North	Northeast	amazon
MB236III	MB236III	MR	MR	Caat.aug	Caat.aug	caatinga
MB236II	MB236II	MR	MR	Caat.aug	Caat.aug	caatinga
MB236I	MB236I	MR	MR	Caat.aug	Caat.aug	caatinga
MB239III	MB239III	MR	MR	Caat.sep	Caat.sep	caatinga
MB239II	MB239II	MR	MR	Caat.sep	Caat.sep	caatinga
MB239I	MB239I	MR	MR	Caat.sep	Caat.sep	caatinga
MB242III	MB242III	MR	MR	Caat.oct	Caat.oct	caatinga
MB242II	MB242II	MR	MR	Caat.oct	Caat.oct	caatinga
MB242I	MB242I	MR	MR	Caat.oct	Caat.oct	caatinga
MB245III	MB245III	MR	MR	Caat.nov	Caat.nov	caatinga
MB245II	MB245II	MR	MR	Caat.nov	Caat.nov	caatinga
MB245I	MB245I	MR	MR	Caat.nov	Caat.nov	caatinga
MB248III	MB248III	MR	MR	Caat.dec	Caat.dec	caatinga
MB248II	MB248II	MR	MR	Caat.dec	Caat.dec	caatinga
MB248I	MB248I	MR	MR	Caat.dec	Caat.dec	caatinga
