SampleID	SampleName	Replicate	Experiment	Exp_fam	Exp_genus
Angelicaesinensis_a	Angelicaesinensis_a	Angelicaesinensis	Exp1	Apiaceae	Angelica
Angelicaesinensis_b	Angelicaesinensis_b	Angelicaesinensis	Exp1	Apiaceae	Angelica
Carthamustinctorius_a	Carthamustinctorius_a	Carthamustinctorius	Exp2	Asteraceae	Carthamus
Carthamustinctorius_b	Carthamustinctorius_b	Carthamustinctorius	Exp2	Asteraceae	Carthamus
Citrusaurantium_a	Citrusaurantium_a	Citrusaurantium	Exp3	Rutaceae	Citrus
Citrusaurantium_b	Citrusaurantium_b	Citrusaurantium	Exp3	Rutaceae	Citrus
Cyperusrotundus_a	Cyperusrotundus_a	Cyperusrotundus	Exp4	Cypereae	Cyperus
Cyperusrotundus_b	Cyperusrotundus_b	Cyperusrotundus	Exp4	Cypereae	Cyperus
Glycyrrhizauralensis_a	Glycyrrhizauralensis_a	Glycyrrhizauralensis	Exp5	Fabaceae	Glycyrrhiza
Glycyrrhizauralensis_b	Glycyrrhizauralensis_b	Glycyrrhizauralensis	Exp5	Fabaceae	Glycyrrhiza
GuiZhiFuLingPian_a	GuiZhiFuLingPian_a	GuiZhiFuLingPian	Exp6	GuiZhiFuLingPian	GuiZhiFuLingPian
GuiZhiFuLingPian_b	GuiZhiFuLingPian_b	GuiZhiFuLingPian	Exp6	GuiZhiFuLingPian	GuiZhiFuLingPian
GuiZhiFuLingTan_a	GuiZhiFuLingTan_a	GuiZhiFuLingTan	Exp7	GuiZhiFuLingTan	GuiZhiFuLingTan
GuiZhiFuLingTan_b	GuiZhiFuLingTan_b	GuiZhiFuLingTan	Exp7	GuiZhiFuLingTan	GuiZhiFuLingTan
GXZYT_a	GXZYT_a	GXZYT	Exp8	GXZYT	GXZYT
GXZYT_b	GXZYT_b	GXZYT	Exp8	GXZYT	GXZYT
GZFLW_a	GZFLW_a	GZFLW	Exp9	GZFLW	GZFLW
GZFLW_b	GZFLW_b	GZFLW	Exp9	GZFLW	GZFLW
Ligusticumchuanxiong_a	Ligusticumchuanxiong_a	Ligusticumchuanxiong	Exp10	Apiaceae	Ligusticum
Ligusticumchuanxiong_b	Ligusticumchuanxiong_b	Ligusticumchuanxiong	Exp10	Apiaceae	Ligusticum
Linderaaggregata_a	Linderaaggregata_a	Linderaaggregata	Exp11	Lauraceae	Lindera
Linderaaggregata_b	Linderaaggregata_b	Linderaaggregata	Exp11	Lauraceae	Lindera
Paeonialactiflora_a	Paeonialactiflora_a	Paeonialactiflora	Exp12	Paeoniaceae	Paeonia
Paeonialactiflora_b	Paeonialactiflora_b	Paeonialactiflora	Exp12	Paeoniaceae	Paeonia
Peoniasuffruticosa_a	Peoniasuffruticosa_a	Peoniasuffruticosa	Exp13	Paeoniaceae	Paeonia
Peoniasuffruticosa_b	Peoniasuffruticosa_b	Peoniasuffruticosa	Exp13	Paeoniaceae	Paeonia
Poriacocos_a	Poriacocos_a	Poriacocos	Exp14	Polyporaceae	Polyporaceae
Poriacocos_b	Poriacocos_b	Poriacocos	Exp14	Polyporaceae	Polyporaceae
Prunuspersica_a	Prunuspersica_a	Prunuspersica	Exp15	Rosaceae	Prunus
Prunuspersica_b	Prunuspersica_b	Prunuspersica	Exp15	Rosaceae	Prunus
Trogopterusxanthipes_a	Trogopterusxanthipes_a	Trogopterusxanthipes	Exp16	Sciuridae	Trogopterus
Trogopterusxanthipes_b	Trogopterusxanthipes_b	Trogopterusxanthipes	Exp16	Sciuridae	Trogopterus
Negative	Negative	Negative	Negative	Negative	Negative
NegativePCR	NegativePCR	NegativePCR	NegativePCR	NegativePCR	NegativePCR
